retailer,brand,model,product_url,colourway_shown,colourways_available,price_gbp,delivery_cost_gbp,assembly_cost_gbp,landed_cost_gbp,over_budget,arrives_assembled,mounting,top_width_cm,top_depth_cm,top_load_kg,overall_width_cm,overall_depth_cm,overall_height_cm,bays_json,back_panel,cable_management,frame_material,finish_material,leg_style,warranty,spare_parts_available,returns_window,delivery_lead_time,review_score,review_count,notes
Dunelm,Dunelm,"Bromley II Wide TV Stand for TVs up to 55""",https://www.dunelm.com/product/bromley-ii-wide-tv-stand-for-tvs-up-to-55-1000266703?defaultSkuId=30973552,Oak,,249,12.95,,261.95,,,floor,130.0,38.0,,130.0,38.0,46.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Top: Oak, MDF Veneer Oak, Base: Pine Painted, MDF Painted",,,,,Free returns,,4.6,13,"Storage: 1 Shelf, 2 Doors, Open Shelf, With Doors. Max TV Up To 55"". Unit weight 17.5kg."
Dunelm,GFW,"Orleans TV Unit for TVs up to 50""",https://www.dunelm.com/product/orleans-tv-stand-1000169392?defaultSkuId=30705712,Brown,,129,12.95,,141.95,,self,floor,116.0,39.5,,116.0,39.5,49.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 43.0, ""depthCm"": null, ""heightCm"": 11.0}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Particle Board,Wood Effect,,,,Free returns,,4.5,23,"Storage: 1 Drawer, 2 Doors, Doors & Drawers, Open Shelf. Max TV Up To 50"". Unit weight 22.7kg."
Dunelm,Frank Olsen Furniture,"Elevate SMART LED TV Unit for TVs up to 67""",https://www.dunelm.com/product/elevate-smart-led-tv-cabinet-1000205162?defaultSkuId=30792851,Elevate White,,319.2,12.95,,332.15,,self,floor,151.0,40.0,,151.0,40.0,52.0,"[{""kind"": ""open"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"DOORS High Gloss Painted MDF, Remaining Melamine Wrapped MFC.",Gloss,,,,Free returns,,4,6,"Storage: 3 Doors, 3 Shelves, With Doors. Max TV Up To 70"". Unit weight ?."
Dunelm,Dunelm,"Georgi Wide TV Unit for TVs up to 55""",https://www.dunelm.com/product/georgi-wide-tv-unit-1000218575?defaultSkuId=30825453,Georgi Black,,229,12.95,,241.95,,self,floor,130.0,39.6,,130.0,39.6,54.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 41.6, ""depthCm"": 35.2, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Top and Carcass: Particle board & Melamine, Door Fronts: Waved MDF with Painted Lacquer. Legs and Handles: Metal",Painted,,,,Free returns,,4.5,60,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 55"". Unit weight ?."
Dunelm,GFW,"Galicia LED Wide Floating Wall TV Unit for TVs up to 67""",https://www.dunelm.com/product/galicia-150cm-led-wall-tv-unit-1000156241?defaultSkuId=30662653,Galicia White,,95.2,12.95,,108.15,,self,wall-mounted,150.0,38.0,,150.0,38.0,30.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 72.5, ""depthCm"": null, ""heightCm"": 21.5}, {""kind"": ""open"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Particle Board,Gloss,,,,Free returns,,4.2,38,"Storage: 2 Doors, 2 Shelves, With Doors. Max TV Up To 70"". Unit weight ?."
Dunelm,AVF,AVF Calibre Extra Wide TV Stand for TVs up to 80”,https://www.dunelm.com/product/calibre-wide-tv-stand-180cm-oak-effect-1000210513?defaultSkuId=30812140,Calibre Oak,,299,12.95,,311.95,,self,floor,180.0,50.8,,180.0,50.8,41.4,[],,,MDF,,,,,Free returns,,4.4,10,"Storage: Open Shelf. Max TV Up To 80"". Unit weight ?."
Dunelm,Dunelm,"Hatton Extra Wide TV Unit For TVs Up To 75"", Oak Effect",https://www.dunelm.com/product/hatton-extra-wide-tv-unit-for-tvs-up-to-75-oak-effect-1000260830?defaultSkuId=30927270,Oak,,249,12.95,,261.95,,self,floor,180.0,40.0,,180.0,40.0,50.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"PB, MDF, Rubber Wood and Paper Foil",,,,,Free returns,,5,1,"Storage: 2 Shelves, With Doors. Max TV ?. Unit weight ?."
Dunelm,Seconique,"Corona 2 Drawer TV Unit for TVs up to 42""",https://www.dunelm.com/product/corona-2-drawer-tv-unit-1000210563?defaultSkuId=30817460,Weathered Pine (Brown),,109,12.95,,121.95,,self,floor,108.0,45.0,,108.0,45.0,54.0,"[{""kind"": ""drawer"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Particle Board, MDF, Pine",Pine Effect,,,,Free returns,,4.6,33,"Storage: 2 Drawers, Open Shelf, With Drawers. Max TV Up To 42"". Unit weight ?."
Dunelm,Frank Olsen Furniture,"Intel LED 1500 TV Unit for TV's up to 70""",https://www.dunelm.com/product/intel-led-1500-tv-unit-1000205164?defaultSkuId=30792882,Intel Black,,367.2,12.95,,380.15,,self,floor,150.0,42.0,,150.0,42.0,50.6,"[{""kind"": ""open"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"High Gloss Painted MDF, Tempered Glass Top",Gloss,,,,Free returns,,5,1,"Storage: 3 Doors, 3 Shelves, With Doors. Max TV Up To 70"". Unit weight ?."
Dunelm,Cedar & Sage,"Hanley Parquet Wide TV Unit for TVs up to 75""",https://www.dunelm.com/product/hanley-parquet-wide-tv-unit-for-tvs-up-to-75-1000283235?defaultSkuId=31025639,Light Oak,,349,12.95,,361.95,,,floor,180.0,35.0,,180.0,35.0,45.0,"[{""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"MDF, Rubber Wood, Oak Veneer",,,,,Free returns,,1,1,"Storage: 1 Internal Shelf, 2 Doors. Max TV Up To 75"". Unit weight 36kg."
Dunelm,Dunelm,"Nixon TV Unit for TVs up to 55""",https://www.dunelm.com/product/nixon-tv-unit-1000231255?defaultSkuId=31016241,Black,,99,12.95,,111.95,,self,floor,120.0,39.0,,120.0,39.0,50.0,"[{""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Particle Board, MDF, Steel",,,,,Free returns,,4.5,44,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 55"". Unit weight 22.8kg."
Dunelm,Welcome Furniture,"Darlton Small TV Unit for TVs up to 50""",https://www.dunelm.com/product/darlton-small-tv-unit-for-tvs-up-to-50-1000271326?defaultSkuId=30996390,Kobe Pink,,249,12.95,,261.95,,,floor,110.0,40.0,,110.0,40.0,57.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Main Body & Top: MFC, Door Fronts: Vinyl Wrapped MDF, Back: hardboard, Legs & Handles: Metal",,,,,Free returns,,0,0,"Storage: 1 Door, 2 Shelves. Max TV Up To 50"". Unit weight ?."
Dunelm,Dunelm,"Bromley II Extra Wide TV Unit for TVs up to 65""",https://www.dunelm.com/product/bromley-ii-extra-wide-tv-unit-for-tvs-up-to-65-1000266695?defaultSkuId=30973500,Oak,,299,12.95,,311.95,,,floor,180.0,38.0,,180.0,38.0,46.0,"[{""kind"": ""open"", ""count"": 6, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Top: Oak, MDF Veneer Oak, Sideframe: Oak, Rubber Wood Veneer Oak, Pine, MDF Veneer Oak, Drawer: Rubber Wood Veneer Oak, MDF V Oak, Pine",,,,,Free returns,,4.6,17,"Storage: 2 Doors, 6 Shelves, Doors & Drawers. Max TV Up To 65"". Unit weight 23.5kg."
Dunelm,Dunelm,"Daphne Extra Wide TV Unit for TVs Up To 75""",https://www.dunelm.com/product/daphne-extra-wide-tv-unit-for-tvs-up-to-75-1000293573?defaultSkuId=31040060,Burgundy,,229,12.95,,241.95,,self,floor,180.0,41.0,,180.0,41.0,53.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 86.0, ""depthCm"": 39.3, ""heightCm"": 10.5}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"27.8% particle board, 70.2% MDF, 2% beech wood",,,,,Free returns,,0,0,"Storage: 1 Shelf, 2 Doors. Max TV ?. Unit weight 40.1kg."
Dunelm,Seconique,"Tortilla TV Unit, Pine for TVs up to 48""",https://www.dunelm.com/product/tortilla-tv-stand-1000103851?defaultSkuId=30457422,Natural,,111.2,12.95,,124.15,,self,floor,107.0,45.0,,107.0,45.0,52.0,"[{""kind"": ""drawer"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Pine,Pine,,,,Free returns,,4.4,13,"Storage: 1 Drawer, Open Shelf, With Drawers. Max TV Up To 48"". Unit weight ?."
Dunelm,GFW,"Galicia LED Extra Wide Floating Wall TV Unit for TVs up to 80""",https://www.dunelm.com/product/galicia-180cm-led-wide-wall-tv-unit-1000156242?defaultSkuId=30662657,Galicia White,,111.2,12.95,,124.15,,self,wall-mounted,180.0,38.0,,180.0,38.0,30.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 87.5, ""depthCm"": null, ""heightCm"": 21.5}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Particle Board,Gloss,,,,Free returns,,4.1,31,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 80"". Unit weight ?."
Dunelm,Dunelm,"Holden Superwide TV Unit for TVs up to 80"", Oak",https://www.dunelm.com/product/holden-superwide-tv-unit-for-tvs-up-to-80-1000283220?defaultSkuId=31006267,Light Wood,,199.5,12.95,,212.45,,,floor,200.0,40.0,,200.0,40.0,55.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"MDF Veneer Oak, Pine, Rubber Veneer Oak, Plywood",,,,,Free returns,,0,0,"Storage: 2 Drawers, 2 Shelves. Max TV Up To 80"". Unit weight 35kg."
Dunelm,Seconique,"Corona Rattan TV Stand for TVs up to 50""",https://www.dunelm.com/product/corona-rattan-tv-stand-for-tvs-up-to-50-1000240839?defaultSkuId=30913954,Brown,,71.2,12.95,,84.15,,self,floor,120.0,40.0,,120.0,40.0,45.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 67.5, ""depthCm"": null, ""heightCm"": 13.0}, {""kind"": ""door"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Top and Main Body: Pine. Handle: Metal. Doors: Rattan Finish,Pine Effect,,,,Free returns,,3,1,"Storage: 1 Door, 1 Drawer, Doors & Drawers, Open Shelf. Max TV Up To 50"". Unit weight ?."
Dunelm,Seconique,"Panama TV Unit, Pine for TVs up to 55""",https://www.dunelm.com/product/panama-tv-stand-1000097766?defaultSkuId=30359237,Pine (Brown),,87.2,12.95,,100.15,,self,floor,120.0,40.0,,120.0,40.0,50.5,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 41.5, ""depthCm"": null, ""heightCm"": 19.0}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Pine, Metal handles, Plywood back panel",Pine Effect,,,,Free returns,,3.8,16,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 55"". Unit weight ?."
Dunelm,Dunelm,"Corin Metal TV Unit for TVs up to 50""",https://www.dunelm.com/product/corin-metal-tv-unit-for-tvs-up-to-50-1000283234?defaultSkuId=30971892,Stone,,64.5,12.95,,77.45,,,floor,120.0,35.0,,120.0,35.0,81.0,"[{""kind"": ""open"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Metal,,,,,Free returns,,2.6,7,"Storage: 3 Doors, 3 Shelves. Max TV Up To 50"". Unit weight 18.75kg."
Dunelm,Dunelm,"Elsie TV Unit for TVs up to 55""",https://www.dunelm.com/product/elsie-tv-unit-for-tvs-up-to-55-1000268163?defaultSkuId=30971927,Lilypad,,149,12.95,,161.95,,self,floor,120.0,40.0,,120.0,40.0,45.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Main body: MDF, Legs: Bamboo",,,,,Free returns,,4.6,12,"Storage: 2 Shelves, Doors & Drawers. Max TV Up To 55"". Unit weight 29kg."
Dunelm,Dunelm,"Kyler Wide TV Unit for TVs up to 65""",https://www.dunelm.com/product/kyler-wide-tv-unit-for-tvs-up-to-65-1000268308?defaultSkuId=30981498,Oak Effect,,249,12.95,,261.95,,self,floor,160.0,47.0,,160.0,47.0,42.5,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 36.0, ""depthCm"": null, ""heightCm"": 14.5}, {""kind"": ""open"", ""count"": 4, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Oak, Oak Venner and PB",Oak Effect,,,,Free returns,,4.7,3,"Storage: 1 Drawer, 2 Doors, 5 Shelves, Doors & Drawers, Open Shelf. Max TV Up To 65"". Unit weight 45kg."
Dunelm,Frank Olsen Furniture,"Ava Extra Wide TV Unit for TVs up to 70""",https://www.dunelm.com/product/ava-extra-wide-tv-stand-for-tvs-up-to-70-1000240343?defaultSkuId=30904873,Midnight,,383.2,12.95,,396.15,,self,floor,150.0,40.0,,150.0,40.0,56.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 35.0, ""depthCm"": null, ""heightCm"": 15.5}, {""kind"": ""open"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 4, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"MDF with a paint finish, Melamine interior",Gloss,,,,Free returns,,3.7,3,"Storage: 2 Shelves, 4 Doors, With Doors. Max TV Up To 70"". Unit weight ?."
Dunelm,Frank Olsen Furniture,"Intel LED Corner TV Unit for TV's up to 50""",https://www.dunelm.com/product/intel-led-corner-tv-unit-1000205165?defaultSkuId=30935421,White,,319.2,12.95,,332.15,,self,floor,120.0,42.0,,120.0,42.0,50.6,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"High Gloss Painted MDF, Tempered Glass Top",Gloss,,,,Free returns,,4.8,5,"Storage: 2 Doors, 2 Shelves, With Doors. Max TV Up To 50"". Unit weight ?."
Dunelm,GFW,"Galicia Extra Wide TV Unit with Shelving for TVs up to 75""",https://www.dunelm.com/product/delta-extra-wide-open-shelf-tv-unit-for-tvs-up-to-75-1000270811?defaultSkuId=30990509,Grey,,279,12.95,,291.95,,self,floor,180.0,38.0,,180.0,38.0,30.0,[],,,Particle Board,,,,,Free returns,,3,2,"Storage: not stated. Max TV Up To 75"". Unit weight ?."
Dunelm,Dunelm,"Elsie Extra Wide TV Unit for TVs up to 75""",https://www.dunelm.com/product/elsie-wide-tv-unit-for-tvs-up-to-75-1000268162?defaultSkuId=30971928,Lilypad,,199,12.95,,211.95,,self,floor,180.0,40.0,,180.0,40.0,45.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Main body: MDF, Legs: Bamboo",,,,,Free returns,,5,7,"Storage: 2 Shelves, Doors & Drawers. Max TV Up To 75"". Unit weight ?."
Dunelm,LPD,"Alexander TV Unit for TVs up to 55""",https://www.dunelm.com/product/alexander-tv-unit-1000210562?defaultSkuId=30810663,Wood Brown,,179,12.95,,191.95,,self,floor,128.2,39.4,,128.2,39.4,48.5,"[{""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Particle board/MDF, rattan fronts, metal handles",Wood Effect,,,,Free returns,,4.3,3,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 55"". Unit weight 26kg."
Dunelm,AVF,"Panorama Reversible Top Wide TV Unit for TVs up to 70""",https://www.dunelm.com/product/panorama-wide-tv-stand-160cm-1000210523?defaultSkuId=30812429,Walnut (Brown),,379,12.95,,391.95,,self,floor,160.0,,,160.0,,37.0,[],,,"Steel, MDF and Glass",,,,,Free returns,,5,3,"Storage: not stated. Max TV Up To 70"". Unit weight 39.54kg."
Dunelm,Dunelm,Helga Metal Low Sideboard,https://www.dunelm.com/product/helga-metal-tv-stand-1000236943?defaultSkuId=30933930,Black,,89,12.95,,101.95,,,floor,117.0,38.0,,117.0,38.0,55.7,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Metal Powder Coating,,,,,Free returns,,4.2,69,"Storage: 2 Doors, 2 Shelves, With Doors. Max TV ?. Unit weight ?."
Dunelm,GFW,"Boston TV Unit, Grey for TVs up to 50""",https://www.dunelm.com/product/boston-tv-stand-1000169398?defaultSkuId=30705678,Grey,,119,12.95,,131.95,,self,floor,113.0,39.2,,113.0,39.2,43.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 40.5, ""depthCm"": null, ""heightCm"": 11.5}, {""kind"": ""open"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Particle Board,Wood Effect,,,,Free returns,,4.8,36,"Storage: 2 Doors, 2 Shelves, Doors & Drawers, Open Shelf. Max TV Up To 50"". Unit weight 23.7kg."
Dunelm,Welcome Furniture,"Harborne Small TV Unit for TVs up to 50""",https://www.dunelm.com/product/harborne-small-tv-unit-for-tvs-up-to-50-1000271333?defaultSkuId=31007380,Walnut,,279,12.95,,291.95,,,floor,110.0,40.0,,110.0,40.0,57.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Main Body & Top: MFC, Door Fronts: Vinyl Wrapped MDF, Back: hardboard, Legs & Handles: Metal",,,,,Free returns,,0,0,"Storage: 1 Door, 2 Shelves. Max TV Up To 50"". Unit weight ?."
Dunelm,Frank Olsen Furniture,"Iona Smart Large TV Unit for TVs up to 67""",https://www.dunelm.com/product/iona-smart-large-tv-unit-1000217047?defaultSkuId=30848650,Grey,,367.2,12.95,,380.15,,self,floor,150.0,40.0,,150.0,40.0,56.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 35.0, ""depthCm"": null, ""heightCm"": 15.4}, {""kind"": ""open"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"MDF, Melamine, Metal",Gloss,,,,Free returns,,5,1,"Storage: 2 Shelves, 3 Doors, With Doors. Max TV Up To 70"". Unit weight ?."
Dunelm,Julian Bowen,"Curve TV Unit, Oak for TVs up to 50""",https://www.dunelm.com/product/curve-oak-tv-unit-1000169311?defaultSkuId=30705743,Oak (Brown),,349,12.95,,361.95,,,floor,115.0,40.0,,115.0,40.0,45.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 105.0, ""depthCm"": null, ""heightCm"": 17.0}, {""kind"": ""drawer"", ""count"": 3, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"99% Wood, 1% Metal",Oak,,,,Free returns,,4.9,18,"Storage: 3 Drawers, Open Shelf, With Drawers. Max TV Up To 50"". Unit weight 23kg."
Dunelm,Dunelm,"Georgi Super Wide TV Unit for TVs up to 80""",https://www.dunelm.com/product/georgi-super-wide-tv-unit-for-tvs-up-to-80-1000282029?defaultSkuId=31025646,Black,,299,12.95,,311.95,,self,floor,200.0,39.5,,200.0,39.5,54.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"PB, MDF, Metal",,,,,Free returns,,4.5,2,"Storage: 2 Doors, 2 Shelves. Max TV Up To 80"". Unit weight ?."
Dunelm,Julian Bowen,"Lowry Standard TV Unit for TVs up to 50""",https://www.dunelm.com/product/lowry-standard-tv-unit-for-tvs-up-to-50-1000262455?defaultSkuId=30983952,Medium Wood,,399,12.95,,411.95,,self,floor,120.0,40.0,,120.0,40.0,50.0,[],,,"99% Wood, 1% Metal",,,,,Free returns,,0,0,"Storage: not stated. Max TV Up To 50"". Unit weight ?."
Dunelm,Frank Olsen Furniture,"Iona Smart Corner TV Unit for TVs up to 55""",https://www.dunelm.com/product/iona-smart-corner-tv-unit-1000217048?defaultSkuId=30848653,Grey,,319.2,12.95,,332.15,,self,floor,120.0,40.0,,120.0,40.0,56.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 35.0, ""depthCm"": null, ""heightCm"": 15.4}, {""kind"": ""open"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"MDF, Melamine, Metal",Gloss,,,,Free returns,,5,2,"Storage: 2 Doors, 2 Shelves, With Doors. Max TV Up To 55"". Unit weight ?."
Dunelm,Dunelm,"Nixon Extra Wide TV Unit for TVs up to 80""",https://www.dunelm.com/product/nixon-extra-wide-tv-unit-for-tvs-up-to-80-1000253354?defaultSkuId=31016215,Black,,179,12.95,,191.95,,self,floor,180.0,40.0,,180.0,40.0,40.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": 40.0, ""depthCm"": null, ""heightCm"": 10.0}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"PB/MDF, Leg: steel tube, Handles: Metal",,,,,Free returns,,4.4,7,"Storage: 1 Drawer, 2 Doors, Doors & Drawers. Max TV Up To 80"". Unit weight 33.9kg."
Dunelm,Seconique,"Corona 2 Door TV Unit, Pine for TVs up to 55""",https://www.dunelm.com/product/corona-pine-2-door-1-shelf-flat-screen-tv-unit-1000108337?defaultSkuId=30499909,Natural,,95.2,12.95,,108.15,,self,floor,120.0,40.0,,120.0,40.0,52.0,"[{""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,Pine,Pine Effect,,,,Free returns,,4.6,27,"Storage: 2 Doors, Open Shelf, With Doors. Max TV Up To 55"". Unit weight ?."
Dunelm,Cedar & Sage,"Pinxton TV Unit for TVs up to 55""",https://www.dunelm.com/product/pinxton-tv-stand-1000238760?defaultSkuId=30911974,Natural,,379,12.95,,391.95,,,floor,125.7,40.0,,125.7,40.0,40.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"MDF, Acacia Veneer, White Oak, White Oak Veneer",,,,,Free returns,,0,0,"Storage: 2 Doors, 2 Shelves, With Doors. Max TV Up To 55"". Unit weight 29kg."
Dunelm,Welcome Furniture,"Darlton Extra Wide TV Unit for TVs up to 80""",https://www.dunelm.com/product/darlton-extra-wide-tv-unit-for-tvs-up-to-80-1000271323?defaultSkuId=30996445,Walnut,,379,12.95,,391.95,,,floor,180.0,39.0,,180.0,39.0,57.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Main Body & Top: MFC, Door Fronts: Vinyl Wrapped MDF, Back: hardboard, Legs & Handles: Metal",,,,,Free returns,,1,1,"Storage: 2 Doors, 2 Shelves. Max TV Up To 80"". Unit weight ?."
Dunelm,Welcome Furniture,"Tuxford Small TV Unit for TVs up to 50""",https://www.dunelm.com/product/tuxford-small-tv-unit-for-tvs-up-to-50-1000271060?defaultSkuId=31000443,Black Ash,,279,12.95,,291.95,,,floor,110.0,40.0,,110.0,40.0,57.0,"[{""kind"": ""open"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,"Main Body & Top: MFC, Door Fronts: Vinyl Wrapped MDF, Back: hardboard, Legs & Handles: Metal",,,,,Free returns,,0,0,"Storage: 1 Door, 2 Shelves. Max TV Up To 50"". Unit weight ?."
Dunelm,Dunelm,"Maxton Extra Wide TV Unit For TVs up to 70"", Mango Wood",https://www.dunelm.com/product/maxton-extra-wide-tv-unit-for-tvs-up-to-70-mango-wood-1000282907?defaultSkuId=31000564,Dark Mango Wood,,499,12.95,,511.95,,,floor,180.0,40.0,,180.0,40.0,66.0,"[{""kind"": ""open"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""door"", ""count"": 2, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}, {""kind"": ""drawer"", ""count"": 1, ""widthCm"": null, ""depthCm"": null, ""heightCm"": null}]",,,100% Mango Wood,,,,,Free returns,,0,0,"Storage: 1 Drawer, 1 Shelf, 2 Doors. Max TV Up To 70"". Unit weight 54.5kg."
Dunelm,AVF,AVF Calibre Wide TV Stand for TVs up to 65”,https://www.dunelm.com/product/calibre-wide-tv-stand-140cm-oak-effect-1000210512?defaultSkuId=30812136,Calibre Grey,,189,12.95,,201.95,,self,floor,140.0,39.5,,140.0,39.5,41.4,[],,,MDF,,,,,Free returns,,4.7,20,"Storage: Open Shelf. Max TV Up To 65"". Unit weight ?."
Dunelm,AVF,"Calibre Plus Wide TV Unit Grey Oak Effect for TVs up to 50""",https://www.dunelm.com/product/calibre-plus-wide-tv-stand-115cm-grey-oak-effect-1000210508?defaultSkuId=30812135,Grey,,125,12.95,,137.95,,self,floor,115.0,39.5,,115.0,39.5,41.4,[],,,"MDF, Glass",,,,,Free returns,,4.4,7,"Storage: Open Shelf. Max TV Up To 50"". Unit weight 18.2kg."
